vendor,category,item,brand_or_search_term,qty,unit,price_low_usd,price_high_usd,notes,search_url
Foundry,Cast metal,3-body cast aluminum subset (canopy plate + 2 stars) A356-T6 bead-blasted,"Submit chandelier_metal_minimal.stl with the message in ASSEMBLY.md §11. Vendors: PCBWay Casting (cheapest), local US art foundry, or Xometry.",1,set,300,900,Outer 13-star is 943 mm tip-to-tip — may need to be split into two halves if foundry can't handle envelope; rejoin with stainless sleeve + epoxy at install.,https://www.pcbway.com/rapid-prototyping/manufacture/
Amazon,Lighting,LED fiber illuminator 16 W RGBW 32-port IR remote,AKEPO 16W RGB fiber optic light source / SANLI fiber optic illuminator RGBW 32 port,1,unit,130,180,Wall-wart power supply commonly included; verify before ordering.,https://www.amazon.com/s?k=AKEPO+16W+RGB+fiber+optic+light+source
Amazon,Lighting,End-glow PMMA fiber 1.0 mm OD 50 m roll,1mm end glow fiber optic cable 50m roll (VSON / AKEPO / Smart-light),1,roll,25,45,Buy ~20% extra for trim losses.,https://www.amazon.com/s?k=1mm+end+glow+fiber+optic+cable+50m+roll
Amazon,Lighting,Frosted acrylic decorative balls 12 mm (1/2 in),12mm frosted acrylic balls (50–100 pack),1,bag,9,15,Used as fiber-tip diffusers inside polyhedra. 31 needed; bag of 50–100.,https://www.amazon.com/s?k=12mm+frosted+acrylic+balls
Amazon,Suspension,Stainless 7×7 aircraft cable 1/32 in (0.8 mm) 100 ft roll,1/32 inch stainless steel aircraft cable 7x7 100ft,1,roll,22,30,54 kg breaking strength; need ~25 m total + trim.,https://www.amazon.com/s?k=1%2F32+inch+stainless+steel+aircraft+cable+7x7+100ft
Amazon,Suspension,Aluminum cable ferrules 1/32 in (oval crimp sleeves) 100-pack,1/32 aluminum oval sleeves crimp wire rope,1,pack,10,15,"2 ferrules per drop, 31 drops, plus spares.",https://www.amazon.com/s?k=1%2F32+aluminum+oval+sleeves+crimp+wire+rope
Amazon,Suspension,Hand swage / crimping tool for 1/32 in–3/32 in wire rope,wire rope crimping tool 1.5mm aluminum sleeve,1,unit,20,30,One-time tool purchase.,https://www.amazon.com/s?k=wire+rope+crimping+tool+1.5mm+aluminum+sleeve
Amazon,Suspension,Cable thimbles 1/32 in stainless 50-pack,1/32 wire rope thimble stainless steel,1,pack,8,12,Used wherever cable loops around a star tip or polyhedron eyelet.,https://www.amazon.com/s?k=1%2F32+wire+rope+thimble+stainless+steel
Amazon,Suspension,M3 stainless eye bolts 50-pack,M3 stainless steel eye bolt screws,1,pack,10,15,31 needed (one per polyhedron top vertex).,https://www.amazon.com/s?k=M3+stainless+steel+eye+bolt+screws
Amazon,Suspension,2 mm stainless steel cable 10 ft (structural drops),2mm stainless steel wire rope 10ft,1,length,7,10,Used for the 2 structural cables canopy → star centres.,https://www.amazon.com/s?k=2mm+stainless+steel+wire+rope+10ft
Amazon,Suspension,2 mm aluminum ferrules 10-pack,2mm aluminum oval crimp sleeves,1,pack,5,8,Pairs with 2 mm structural cable.,https://www.amazon.com/s?k=2mm+aluminum+oval+crimp+sleeves
Amazon,Suspension,Small open S-hooks ~1 in stainless,stainless steel S hook 1 inch small,1,pack,8,12,18 needed (one per star tip); pack of ~25.,https://www.amazon.com/s?k=stainless+steel+S+hook+1+inch+small
Amazon,Suspension,8 mm (M8) A2 stainless eye bolt (top of canopy),M8 stainless eye bolt,1,unit,5,8,Hangs through cast canopy plate eye loop.,https://www.amazon.com/s?k=M8+stainless+eye+bolt
Amazon,Polyhedra,M3 brass heat-set threaded inserts 100-pack,M3 brass heat set insert threaded,1,pack,10,15,31 needed (one per polyhedron top vertex).,https://www.amazon.com/s?k=M3+brass+heat+set+insert+threaded
Amazon,Polyhedra,Heat-set insert installation tip for soldering iron,heat set insert soldering tip M3,1,unit,8,12,Optional but speeds insert install dramatically.,https://www.amazon.com/s?k=heat+set+insert+soldering+tip+M3
Amazon,Consumables,Wet/dry sandpaper assortment 400 / 800 / 1500 / 2000 grit,wet dry sandpaper 400 to 2000 grit assortment,1,pack,10,15,For polishing fiber-optic ends; quality of polish dominates light output.,https://www.amazon.com/s?k=wet+dry+sandpaper+400+to+2000+grit+assortment
Amazon,Consumables,Clear heat-shrink tubing 3 mm × 10 ft,clear heat shrink tubing 3mm 10 feet,1,length,6,8,Bundles cable + fiber together every ~100 mm.,https://www.amazon.com/s?k=clear+heat+shrink+tubing+3mm+10+feet
Amazon,Consumables,5-min epoxy 25 mL syringe,Loctite 5 minute epoxy / J-B Weld ClearWeld,1,syringe,7,10,For securing heat-set inserts and cable terminations.,https://www.amazon.com/s?k=Loctite+5+minute+epoxy
Amazon,Consumables,Hot-glue gun + 4 sticks (optional),mini hot glue gun,1,unit,12,15,Optional alternative for fiber-tip diffusers.,https://www.amazon.com/s?k=mini+hot+glue+gun
Home Depot,Paint,Rust-Oleum Specialty Metallic spray Champagne (or Brilliant Gold / Aluminum / Burnished Brass),Rust-Oleum 7271830 Champagne — 'Rust-Oleum Specialty Metallic Champagne',3,can,21,30,3 cans covers all 31 polyhedra with two passes; pick your tone.,https://www.homedepot.com/s/Rust-Oleum+7271830+Champagne
Home Depot,Paint,Rust-Oleum filler primer grey,Rust-Oleum 7220830 — 'Rust-Oleum filler primer',1,can,7,9,Pre-paint dust coat to kill print-line texture.,https://www.homedepot.com/s/Rust-Oleum+7220830
Home Depot,Paint,Rust-Oleum Crystal Clear Enamel,Rust-Oleum 1907830 — 'Rust-Oleum Crystal Clear Enamel spray',1,can,7,9,Final clear coat — major contributor to looks-like-metal effect.,https://www.homedepot.com/s/Rust-Oleum+1907830
Home Depot,Hardware,Hillman 50 lb swag hook (or Westinghouse 70028),Hillman 853641 — 'swag hook 50 lb',1,unit,5,7,Ceiling mount; gives ~4× safety factor on the 13 kg chandelier.,https://www.homedepot.com/s/Hillman+853641
McMaster-Carr,Suspension (optional swap),1/32 in galvanized 7×7 wire rope (or 316 stainless) 100 ft,Wire rope 7x7 strand core 1/32 inch diameter,1,length,25,30,Industrial-grade alternative to Amazon cable line.,https://www.mcmaster.com/products/?q=Wire+rope+7x7+strand+core+1%2F32+inch+diameter
McMaster-Carr,Suspension (optional swap),Aluminum cable thimbles + sleeves 1/32 in,Crimp-on cable sleeves aluminum 1/32 inch wire rope,1,pack of 100,12,15,Industrial-grade alternative to Amazon ferrule line.,https://www.mcmaster.com/products/?q=Crimp-on+cable+sleeves+aluminum+1%2F32+inch+wire+rope
McMaster-Carr,Polyhedra (optional swap),Brass heat-set inserts M3 × 0.5 5 mm long,Heat-set inserts for plastics brass M3,1,pack of 100,25,30,Industrial-grade alternative to Amazon heat-set insert line.,https://www.mcmaster.com/products/?q=Heat-set+inserts+for+plastics+brass+M3
McMaster-Carr,Acrylic (optional swap),1/16 in frosted cast acrylic 24 in × 48 in sheet,Frosted plastic cast acrylic 1/16 inch thick,1,sheet,90,110,Self-supply if you have a local laser cutter.,https://www.mcmaster.com/products/?q=Frosted+plastic+cast+acrylic+1%2F16+inch+thick
Filament,3D printing,PETG filament 1.75 mm 1 kg spool neutral colour,Bambu Lab PETG HF / Polymaker PolyLite PETG / eSun PETG,2,spool,40,60,Will be painted; colour does not matter.,https://www.amazon.com/s?k=Bambu+Lab+PETG+HF
Laser cut service,Acrylic panels,Laser-cutting service 1.6 mm cast acrylic frosted ~1029 outlines,Upload panels/panels.dxf to SendCutSend / Ponoko / Pololu Custom Laser Cutting / local makerspace; specify '1/16 inch frosted cast acrylic',1,job,200,370,Run make_panel_outlines.py to generate panels.dxf first.,https://sendcutsend.com/
